	id	tweet	subtask_a
41	7158	@USER Αν ήξερες το 1/10 από όσα περνάνε γυναίκες με αντρα μουσουλμάνο συγνώμη για την έκφραση τέτοιες μαλακίες δεν θα έγραφες. Καλοί κ κακοί υπάρχουν σε όλες τις θρησκείες. Το θέμα με το ισλάμ κ ειδικότερα την Σαρία είναι οι προσταγές τους εναντίων απίστων και γυναικών	OFF
51	1694	@USER Τώρα κρέμασμα στην πουτανα.	OFF
52	4719	μαύρο στα μνημονιακά απόβλητα (συριζα νδ πασοκ) ξεφτιλες	OFF
57	6342	@USER Τι λες μωρη. Δλδ αν γλειφω καμια γκομενα αλλα γουσταρω τη πουτσα ειμαι καταπιεσμενη λεσβια; διαφωνω φουλ. Αυτες τις ταμπελες τις βαζουν οι κομπλεξικες κραγμενες που τους βγαζουν ολους γκει.ακομα κ τους στρειτ	OFF
59	6832	Α μωρή μαρτινα τραβά την μύτη άου να μεγαλώσει #GNTMgr Τόση κακία πχια για όλες έλεος κάπου χρυσό μου	OFF
65	6841	@USER Ξέρω τα πάντα γι αυτό το Αρχιδι μετά τον γαύρο,τρακα τσιγάρα έκανε στη Ρόδο που το έπαιζε προπονητής σε τοπικό	OFF
68	6338	Πάνε οι μαλάκες κ κάνουν μπλόκα για να μην περάσουν τα πούλμαν με τους μετανάστες, αντί να τους περιμένουν να τους κεράσουν χοιρινό.	OFF
72	7708	@USER Ισκαρ, φτυς τ αρχιδια σου ρε φασιστοσκυλο...	OFF
77	5274	Αγγούρι τελείως η σουζανα. Τη βαρέθηκα #gntmgr	OFF
79	4133	@USER εννοώ ότι είχαν τα αρχίδια να επιβιώσουν και να εξαφανίσουν το φασισμό, αν περιμένουμε από κάτι μυαλά σαν τα δικά σου σωθήκαμε.	OFF
84	9126	#gntmgr Πηδηξου γενικά Ασιμηνα γιατι αυτο σου λειπει κοπελα μου..	OFF
86	3607	Ότι η πορνογραφία ανηλίκων είναι... Πλημμελημα (!) με ξεπερνά. Γαμω τη δικαιοσύνη μας!	OFF
91	5118	Ο μητσοτάκης λέει έχει ξεπεράσει τις προσδοκίες των πολιτών, κ είναι αλήθεια, αυτοί που τον ψήφισαν ενώ περίμεναν να τους βγει λίγο μαλάκας, τους έχει βγει παραπάνω	OFF
93	1240	@USER αφού δεν έχει ιδέες ο μαλάκας τι το συνεχίζει; τίποτα...μόνο το καστ των ηθοποιών το σώζει το τσουκούρ, τίποτα άλλο.	OFF
95	2593	@USER Πολλές γυναίκες έχουν υποστεί επίθεση από αντίζηλος για τα μάτια κάποιου άνδρα! Δεν τις κάναμε όμως Ευρωβουλευτές!	OFF
96	4566	@USER Γιατί δεν είσαι σουργελο	OFF
100	7799	τι τραβελι ειναι αυτο;μηπως ειναι μαριος;#kalomesimeraki	OFF
108	6166	Ασημίνα είσαι πιο αχωνευτη από όλες τις αχωνευτες ολοκληρου του κοσμου #gntmgr	OFF
110	9816	ΠΡΙΝ ΑΠΟ ΤΟ ΠΡΩΤΟ ΜΟΥ kilo ΠΡΙΝ ΤΑ ΠΕΡΙΣΤΕΡΙΑ ΝΑ ΣΤΕΙΛΩ κεισι ο νεος γαμιας της γειτονιας, καλωσηρθες #GNTMgr	OFF
111	3624	@USER Οταν ο Βενιζελος εριξε το Πασοκ του Παπανδρεου του45% και το πηγε στο 4% ολα καλα ε; Οταν μας εκανε ουρα του Σαμαρα ολα ωραια ε; Ρε δεν πατε στο διαολο δεξιοι και υποτιθεμενοι του Πασοκ που σας επιασε ο πονος.	OFF
112	7056	@USER Αι ψοφα πιλότα.	OFF
117	764	Κατερινόπουλε εισαι μαλάκας.Τα πράγματα είναι ξεκάθαρα τον ακολούθησε γιατί δεν του εδωσε τα λεφτά που επρεπε.Λογομάχησαν τον καθάρισε κ τον εξαφάνισε.Πολύ θα ήθελες να φταίει η χήρα αλλα δεν οπότε μην αφήνεις υποννοούμενα είναι άδικο #fosstotounel	OFF
124	1538	ΚΛΑΝΟΚΟΜΟΔΙΝΙ χρωμα να παρεις να σου ταιριαζει μωρη σαλουφαααααααα #shoppingstar	OFF
126	8982	@USER Κομοτηνή ε; Εκεί που οι μουσουλμάνοι ψηφίζουν μουσουλμάνους, ψωνίζουν από μουσουλμάνους, πάνε σε γιατρούς μουσουλμάνους, σπουδάζουν τα παιδιά τους σε συντριπτικό ποσοστό στην Τουρκία και επιδοτούνται για να φοράνε τα κορίτσια κ οι γυναίκες τους το τσαντόρ; Αυτή την Κομοτηνή λέμε;	OFF
133	6105	#gntmgr Η Κάτια δεν θέλει να ψοφισει η κατσίκα του γείτονα, αλλά ο γείτονας.	OFF
138	2681	"Δολια τηλεόραση τι τραβας... όλοι οι αμορφωτοι και οι αγραμματοι σε σενα ηρθα για ""δουλειά""... βλεπε Γωγουλινι.. #shoppingstar"	OFF
140	6803	ακου λεει εχει κενα στα σχολεια, να πατε στου αυγουλεα παλιοπλεμπαιοι #ΝΔ_θελατε	OFF
143	8426	@USER Αγράμματο αριστερό αρχιδι ήταν από πάντα εκεί. Δεν το ξέρεις αυτό; Αριστερό μου αρχιδι πρέπει να αρχίσεις και λίγο διάβασμα όχι όλο πληκτρολόγιο και πληκτρολόγιο εντάξει;	OFF
146	6764	"Aχ ας ημερησουμε λιγο με τα χωρια και τις λαικες και τις καθημερινες ""υποτιμητικες"" δουλειες που βγαζουν τιμια το ψωμι τους τοσοι ανθρωποι. Σιχαμενες δηθεν πρωτευουσιανες εσεις. ΑΣΑΠΕΡΑ ΡΕ ΑΣΑΠΕΡΑ. #GntmGR #Gntm"	OFF
153	1483	Βρίσκουν μαλάκες αφού....... #ekloges19	OFF
155	8214	Μια ευφυής υποτακτική αναγνωρίζει την ομορφιά του χορού στο περιθώριο. Είναι μια ισχυρή,ανεξάρτητη, ταλαντούχα,ικανή γυναίκα από μόνη της, αλλά λαχταρά για έναν Κυρίαρχο να της γαμησει το μυαλό της πολύ πριν αγγίξει το σώμα της. Θέλει έναν άντρα που να αναγνωρίζει την ιση ~Μ.Ο~	OFF
161	7362	Δηλαδή η Σουζάνα, θα μπορούσε να είναι μια εγκλωβισμενη γοργόνα που έπεσε μέσα σε πετρελαιοκηλίδα; #gntmgr	OFF
163	1375	Έχω γονατίσει και προσκυνώ Μελίτη...πάρταααα μωρή ΚΑΡΙΟΛΑ που πας να τα βάλεις με την Κάτια και το σόι της καημένη εεε καημένη #GynaikaXwrisOnoma	OFF
170	4323	Ηταν που ηταν δυσκολη η μερα ηρθε η Γωγω να την αποτελειωσει ρε μαλακα #shoppingstar	OFF
173	7016	#ofipaok ρε μαλακες του ΟΦΗ στο Μάνο δεν είχατε πει τίποτε; Κοντεψε να ισοφαρισει	OFF
181	3267	@USER Δηλαδή να περιμένουμε ακόμη μια εβδομάδα να κερδίσει ο ΣΥΡΙΖΑ τελικά είσαι πιο ηλίθιος από τον Αντώναρο	OFF
182	3457	@USER Είσαι πιο ΜΑΛΑΚΑΣ κι απ τον αρχηγό σου..... Τον ΑΝΕΠΑΓΓΕΛΤΟ γόνο, που με αλλο επώνυμο δε θαβρισκε δουλειά ούτε στην Αννιτα...θα τον έτρωγε ο Κατελης στη μετρηση iq	OFF
190	3818	Πάρτε το απόφαση Ένας στους τρεις Έλληνες, είναι μαλάκας #Εκλογές #Δούρου #σπιτια_σας #Συριζα #Ξαναηρθε	OFF
192	5020	Κάτι μουνια από την ΝΔ πειράχτηκαν με τις μπυρες και τα σουβλάκια.	OFF
193	1005	@USER Ακρωτηριασμός κράτους κ στρατός κατοχής. KFOR Εν τω μεταξύ οι ξένοι Υπήκοοι, ΟΗΕ ΕΕ, κτλ απολαμβάνουν άπειρα λεφτά σε μια φτηνή αγορά ξυνοντας τ αρχίδια τους. Στα καταστήματα κ καφέ που μαζεύονται είναι μονίμως μεθυσμένοι κ οι κόκα τρέχει άφθονη..	OFF
197	9174	Πάντως ο Σκουλός είναι πιο συμπαθητικός στις γραπτές συνεντευξεις του, παρά λάιβ όταν μιλά. #GNTMgr	OFF
198	8919	"""Σουζάνα παραμένεις γιατί αρκετό μαδομούνι είχαμε σήμερα. Ας κρατήσουμε λίγο για το επόμενο επεισόδιο"" #GNTMgr"	OFF
200	2069	Πηγα σε ενα φαρμακείο σημερα κ ενα ζαβό ηθελε να μου δειγματισει μια κρέμα στο χερι! Με το κοτονυχο να! Βαζει το δαχτυλο στην κρέμα κ η μιση ποσότητα εμεινε μεσα στο γυπονυχο κ την έβγαζε με το αλλο νύχι! Ουτε καν στο χερι δεν την αφησα να μου βαλει! Αηδία #shoppingstar	OFF
209	4947	Κατια ιου #GNTMgr	OFF
212	114	@USER Ε μα πραγματικά τι είναι αυτή η ξεφτίλα;	OFF
213	7945	αυτο το ασπρο μπλε καρο ειχε παρει πολλα μετρα και εβγαλε 5-6 σχεδιακια, το κοτσαρε και σε κατι αλλα ως τσοντα #gntmgr	OFF
214	4930	Γαμω τον proxy και το μουνι που τον πέταγε	OFF
216	2537	Ρε Έλλη ΠΟΣΟ σκατόψυχη είσαι πια; ΠΟΣΟ; #gynaikaxwrisonoma	OFF
217	5412	και σπάτε πούτσες με κλισέ	OFF
223	7274	Οι μαλακισμενες γιατι γλύφουν τις υπόλοιπες on camera; #gntmgr	OFF
226	2489	@USER Ε ναι. Ο ιλ γκερειρο ο δικος σου τα βαψε μαυρα ο μαλακας.	OFF
227	4944	88 λαθρομετανάστες εφτασαν στο ταραντο με σκάφος μκο. Ανάμεσα τους μια (1) γυναίκα και πέντε (5) ανηλικοι.	OFF
235	8162	Ε εισαι τέρμα ηλίθια Καγιά #gntmgr	OFF
241	9724	@USER Ποινικά κολάσιμο είναι πως υπάρχουν μαλάκες που ψήφισαν τον κ. #Γιαννουλη.	OFF
242	8204	αχ το μουνι σου σκίσιμο που θέλει ποτέ θα το πνίξουμε μωρό μου το κουνέλι (αφιερωμένο)	OFF
243	3386	#shoppingstar αι μωρή Γωγώ που έχεις και άποψη που αν δεν είναι νάιλον 100% το ρούχο δεν το βάζεις πάνω σου!	OFF
245	6477	Στανταρακι τρελο η καγια κατεβασε μια χουφτα ηρεμιστικά για να βγαλει το σημερινό πλατο με την πλεμπααα που εβλεπε #gntm #GNTMgr	OFF
246	7371	Πάλι έτυχε ρε μοντέλαρα;Χαχαχαχαχαχαχαχα Δεν αξίζει να τα τραβάς όλα αυτά πσυχουλα μου σήκω κ ξεκουμπισου #gntmgr	OFF
251	9440	Άννα μου όταν δεν είσαι από χωριό αυτά γίνονται, πέσε τώρα στο βούρκο μωρή #GNTMgr	OFF
259	5231	αθρο 79 της ΕΕ για να μην μας περνανε μαλακες απο το σαιτ ελληνικα νεα	OFF
263	942	Είδα την ανάρτηση του SDNA για τον Παπαμακάριο... Ντρέπομαι πραγματικά για κάποιους άντρες ... Ρε μαλάκες μην ξεσπάτε πάνω στις γυναίκες τα δικά σας θέματα .	OFF
268	4408	@USER Οπως έχω καταλάβει στο τουιτερ ή θα είσαι συριζοτρόλ ή χρυσαυγουλο. Οι φασίστες σε λένε συριοτρόλ και νομίζουν οτι σε τάπωσαν και οτι θα πρέπει να πεθάνεις απο την ντροπή σου, ενώ το να είναι ναζί, δεν πειράζει. Είναι άποψη. Κούνια που τους κούναγε όλους αλλά τελος πάντον	OFF
277	6710	Ο Σκουλος Γτ κάνει σαν να τον έφαγε από κωλο ; #gntmgr	OFF
278	3674	@USER Alice και συ καβλα εισαι ετσι ; γιαυτο τα ξερεις αυτα ε; για στειλε καμια φωτο να δούμε	OFF
281	5203	Σύμφωνα με την ως τώρα πείρα μου, αν δεις γυναίκα να ανεβάζει σέλφι και από κάτω να γράφει «φτάσε όπου δεν μπορείς», απλά εννοεί πολλές πούτσες	OFF
284	9569	Φάνηκε πόσο καριολα είσαι από εχθές #shoppingstar	OFF
290	9643	Ρε μαλακισμένο, εγώ σου κάνω μπούλινγκ;	OFF
293	9235	Δέσποινα πιστεύω ότι μια ενίσχυση στο σουτιέν θα αναδείκνυε το υπέροχο και στητο σου στήθος στο έπακρο . . . . #XFactorGR	OFF
296	842	Οπου εχει πηδημα ο Πετριδης παει #giatinparea	OFF
300	8890	εσυ σουζάνα να παρεις τα ποδοσφαιρικα.... σουτ κι εφυγες ! #GNTMgr	OFF
312	5218	Αντρες...πεταμενα λεφτα!	OFF
314	8813	Έχουμε και γεμίσει μαλάκες πολιτικούς και ρουφιάνους δημοσιογράφους	OFF
315	5854	Εμετός με αυτη την επίδειξη γλωσσομάθειας της Καγια πια!#gntmgr	OFF
318	4966	ΑΣΗΜΊΝΑ ΒΟΥΛΩΣΕ ΤΟ ΚΑΚΑΣΧΗΜΗ #gntmgr	OFF
324	2685	@USER Κι εγώ από τον Σταύρο Θεοδωράκη θα θυμάμαι την γελοία υπεκφυγή για το ότι παρά τις προφυλάξεις του πατέρα του, ο μαλάκας τελικά την έσπασε την καπότα.	OFF
327	3323	@USER Ποια αρχιδια μωρη ξεκωλιαρα; Ακόμα Ζαλισμενος από την πουτσα της Κυριακής είσαι;	OFF
347	5924	...μια μασκαράτα σε φρενιασμένο παιχνίδι τρεις λαλούν και κλάνουν κι ένα αρχίδι... #thevoicegr #thefinal4gr	OFF
352	802	Μπήκα και indymedia μετά από 2 μήνες και διάβασα πρόταση για coffee shop στα Εξάρχεια. Τι καταλάβατε μωρέ μαλάκες;	OFF
355	5257	@USER Ωραια. Ν αρθουμε να χεσουμε. Αντρες γυναικες.	OFF
356	7444	Μαρτίνα άι στο διάολο #GNTMgr	OFF
360	7578	@USER Σόρυ αλλα θα σε πώ κ γώ μαλακισμένο γιατί τους λές πως είναι μαλακισμένα. Τα κορίτσια αυτά ήταν υπέροχα. Πολύ καλύτερα από τους τράγους,τα λαμόγια, τους ηλιθίους κ κάθε είδους άλλο μεσαιωνικό μαλάκα που καθόταν σούζα στην αποθέωση του κίτς με θύματα ανήλικους.	OFF
362	6879	Το ψεύτικο χέρι όμως κανείς δεν το είδε... Χαχχααχ... Παραγωγή του κωλου προσλαμβάνει τον Ζαφείρη από το καμποχωρι να κάνει τον άγνωστης καταγωγής παγκόσμιου φήμης μαγο; και το σόου του που θα γίνει στο κανάλι του Καρατζαφέρη; #GNTMgr	OFF
370	8806	@USER Αει στο διάολο πούστη	OFF
378	5717	Σκάσε μωρη Σουζανα #gntmgr	OFF
385	8972	#gntmgr Κανονικά τέτοιες που είναι σαν Σαλούφες έπρεπε να φωτογραφηθούν.	OFF
394	9765	Το μυαλό της, με τα λεγόμενα της, να χρειάζεται να την ακούνε για να δουν ότι διαφέρει και να μην γίνει άλλο ένα κομμάτι κρέας προς χάριν των πεινασμένων! Θα της μάθαινα πως οι άντρες το μόνο που θέλουν είναι απλά να πηδήξουν στο τέλος, δεν φταίνε αυτοί αλλά έτσι απλά είναι η	OFF
400	5952	Ποιος Γιαννούλης ρε μλκες. Ο τύπος Περσυ περπατούσε στα Γιαννιτσά και τον έβριζαν μέχρι και κάτι Αλβανοί μπετατζηδες που τα έπιναν σε ταβέρνα. Υπάρχει κ βίντεο	OFF
405	4181	@USER Εννοείς αυτούς που αναπαρήγαγαν το δικό σου tweet για τους αναξιοπρεπείς ζητιάνους κι αργόσχολους τεμπέληδες που συναποτελούν την οικογένειά σου και που φυσικά ψηφίζουν #syriza_xeftiles για να τσεπώνουν επιδόματα ως άεργοι;! Ενημέρωσέ τους πως #Έρχεται_ΠΟΥΤΣΑ την Κυριακή!	OFF
411	2050	@USER Μεγαλος. Τιτάνας. Πιο πολύ γιατί στα αρχιδια του τα λεφτά, είχε και έχει. Για τη γκαβλα του καθαρά το κάνε.	OFF
416	8248	@USER Χαχαχα μου φαίνεται μουτι στα αρβανίτικα είναι μουνι	OFF
420	5393	"Κατια: ""Ξερω την αξια μου... 1500 ευρω για ενα σαββατοκυριακο"" #GNTMgr"	OFF
421	3286	@USER Εισαι τεράστιος μαλάκας ρε.	OFF
424	7133	Ολες σουργελα ΡΕΖΙΛΙ ΓΙΝΑΤΕ ΣΤΗΝ ΤΗΛΕΟΡΑΣΗ #gntmgr	OFF
429	188	Η καινουργια χαζη ειναι η χαμενη αδερφη της ιολης; #poweroflovegr	OFF
430	5376	Η Μαρία πάντως δεν πιστεύεις ότι θα ανοίξει το στόμα της και θα είναι βόθρος!#gntmgr	OFF
436	7557	Κατια τυχαιο ηταν το κλικ σου μη λες μαλακιες #GNTMgr	OFF
441	6378	@USER Την πουτανα	OFF
456	5659	Άμα σου πάρω το γκομενο δε θα έχεις βρακι να βάλεις πουτανα	OFF
457	7730	@USER Το σκατο κοτσίδα. Πουτσα και ξύλο θέλετε.	OFF
460	6494	@USER καλα κι εγω στη δουλεια ειμαι αλλα δεν κανω ετσι μωρη ντραμα κουην αντε τραβα παλι πισω στην κουζινα σου	OFF
462	5746	ΚΑΤΙΑ ΣΚΑΣΕ! Μην κλαις δεν σε πιστεύει κανείς #gntmgr	OFF
467	5618	Βρε κατια μου κι εσυ είσαι καρακαριολα ποιος σου φταίει;φαε την ξεφτίλα σου τώρα και βαλε εκει που ξερεις το υφάκι του τοπ μοντελ ΠΟΥ ΔΕΝ ΕΙΣΑΙ #gntmgr	OFF
470	5949	Ως κατηκοος εχω να δηλωσω κρινοντας απο τα λογια μου της των,πολυ φασαρια και κατωμαλια...Τα λογια σε ρομπο αντιστοιχουν πιοτερο απο σε διαολο.	OFF
471	2017	#ερχεται #Ευρωεκλογές2019 #TheNorthRemembers #syriza_xeftiles #ερχεται_ΠΟΥΤΣΑ και γι αυτούς που δεν είναι μαζί μας οταν οι άλλοι έπαιζαν θέατρο ξέροντας για νεκρούς!	OFF
474	2715	"""Προδότη πάρε τα 30 αργύρια που πούλησες την Μακεδονία."" Άξιος ο ιερέας που πέταξε τα κέρματα στο πρόσωπο βουλευτή του #ΣΥΡΙΖΑ_ξεφτιλες . Τέτοιους πατριώτες ιερείς θέλει η Ελλάδα μας.. """"Για την Ελλάδα και την ορθοδοξία!"""" #ορθοδοξία"	OFF
476	5171	Ασημίνα είμαι 32 κ τόσες ρυτίδες δεν έχω, που θες να το παίξεις κ μοντέλο! #gntmgr	OFF
479	1623	Κατερινάκι δεν μου πας στο διαολο! Και φεύγοντας πάρε κι αυτό μαζί σου, αμόρφωτο φασισταριό! #TheNorthRemembers #Ευρωεκλογές2019 #ερχεται_ΠΟΥΤΣΑ #Αλεξης_ο_Ψευτης #Τσίπρας #Συριζα #thenorthremembers	OFF
483	883	@USER Κουφαλιτσα...ομοφυλόφιλος είσαι;	OFF
486	1464	@USER - Είσαι μαλάκας, γιατί δεν έμαθες απ τη μπύρα σου - Εσύ είσαι μαλάκας, γιατί έχω πιει μια κάσα	OFF
487	4157	#shoppingstar οχιβαδα τρικουαζ μουλς καραφλιασα μαρι γεροντομπεμπεκα έλεος	OFF
488	1930	@USER Και εσυ Λαμπρο κόλα στον αρχηψεφταρά τον Τσίπρα που Τσίπα δεν έχει απάνω του! Μήπως είσαι και εσυ ένα από τα ίδια; Είναι ο χειρότερος από όλους τους προηγούμενους μαζί επι 10! Τον είδαμε τον αρχηψεφταρα που κοροϊδεύει εσένα και τους καημένους που υποφέρουν με τις λαμογιες του!	OFF
497	2086	@USER αν θες πες στο φιλαράκι σου που χέστηκε πάνω του, πως τον ευχαριστώ για την συμβουλή, αλλά κρίνοντας εκ του αποτελέσματος, πουτάνα τα έχετε κάνει οι πιτσιρικάδες όσο έλειπα και αφήσατε τα δεξιά τρολ να σβαρνάνε χύμα.	OFF
501	3321	"Τσίπρας από Ολλανδία: ""ΕΕ με δημοκρατία ή καθόλου Ευρώπη"" Ποσο Μαλάκας ΠΑΣΟΚΟΣ έγινε..."	OFF
502	6500	σας έφερα κατι χρησιμοποιημένα προφυλακτικά απο τη Μύκονο φίλες μου #gntmgr	OFF
503	3206	Ορίστε,ήρθαν κι οι ζέστες.Τι καταλάβατε μαλάκες ναπούμε; #ThursdayThoughts	OFF
505	2827	@USER Σαν κλαμμένο μουνι!	OFF
511	3496	Σαλτα ρε γαμησου που θα μου πεις ότι ξεπλενω τη Χρυσή Αυγή	OFF
513	330	@USER Κομματόσκυλο απο το οργανωτικό της δεξιάς είσαι τελικά	OFF
515	1322	@USER Μια ζωή στην τρίτη εθνική θα είσαι πάρτο απόφαση δημοσιογραφοι άλφα εθνικής είναι Τζίμας Μπάμπης Παπαδημητρίου και σημαντικοι ακόμα Πιταρας Φιλιππίδης εσύ μαγκιά πουλάς λόγω ότι είσαι αγράμματος Περαστικά σου	OFF
516	6783	#gntmgr η Κάτια στην κατοχή θα φορούσε κουκούλα ,όχι για την ανταμοιβή αλλά για την ευχαρίστηση από την κακία	OFF
527	9836	2 λαθιη στην ιδια φαση γαμω τον Ταλτον και τη πουτανα την Αμερικη #BasketLeague	OFF
528	5992	@USER Προς την τεράστια πούτσα μέσα στο σπιτάκι σας.Στο στόμα ολόκληρη και για ύπνο	OFF
529	7453	Ακόμη ασχολούμαστε με τον βλάκα τον Τριαντάφυλλο και με το τσολι τη Σκορδά #kalytera	OFF
533	2782	"@USER Σύμφωνοι ναι απλά στη δική μου ζυγαριά βαραίνουν πιο πολύ τα ""φόνισσα, πουτάνα, ξεφτιλισμένη κλπ"" που ακούμε τόσους μήνες και τα οποία πρέπει να φάνε ενα γερό χαστούκι αλλιώς θα τα ξαναβρούμε μπροστά μας"	OFF
540	9811	Έχω πλακώσει τα ναρκωτικά σήμερα και είμαι σαν μαλάκας όλη την ώρα ενώ αν δεν είχα πάρει θα ήμουν σαν μαλάκας χωρις ναρκωτικα	OFF
541	6769	Αμα είσαι κοντή θα παινεψεις κοντές άμα είσαι ψηλή θα παινεψεις ψηλές άμα είσαι 40+ θα παινεψεις 40+ αμα εισαι μαλάκας θα παινεψεις μαλάκες μουνόπανα και γαμώσπιτους	OFF
542	5147	Η Κάτια και ΣΙΑ έχουν υψηλές βλέψεις για μόντελινγκ ενώ όταν βγουν μόνο για τις αφίσες μέσα στα lidl θα τις έχουν. Αισχρές #GntmGr	OFF
546	3592	Τατουάζ = λέπρα τάδε έφη κύριος Αραπαντζης #giatinparea	OFF
547	10184	Θα τραβάμε και μεις τα βυζια μας με το σημερινό #gntmgr	OFF
557	2135	@USER Ξέρεις τουιταρεις κι από το κινητό, μέχρι κι ο #κουλης το ανακάλυψε, εσύ ακόμα; Αλλά για να στηρίζεις #κουλης ηλίθιος θα είσαι!	OFF
564	534	Τι καποιος μωρη Μαρινα την επηρεαζει;! Η ΛΙΛΙΑΝ ΕΙΝΑΙ ΜΩΡΗ #τρεΛιλιαν #gynaikaxwrisonoma	OFF
565	7358	Διώξτε την Σουζάνα όλο δικαιολογίες. Σιχτηρ. #GNTMGR	OFF
567	8929	@USER Ποια εκκλησία μωρή; Εγώ λέω να περπατούμε στο δρόμο και να σταυροκοποιόμαστε, ειδικά άμα δούμε μπούρκα. Σα σε εξορκισμό ένα πράμα.	OFF
570	1594	Εγώ ξέρω ότι πάσης φύσεως εγκληματίες, βιαστές ναρκέμποροι,διαρρήκτες, δολοφόνοι, τρομοκρατες, ψεκασμένοι και αποτυχημενα λαμόγια ψηφίζουν #Συριζα . #ΣΥΡΙΖΑ_ξεφτιλες	OFF
573	5722	@USER Με έχεις ψάξει μαλακά μου. Αλλά σου είπα θέλω 10μσαννκαι εσένα φασιστακο του κέρατα. Θα σε κάνω ρόμπα κάθε μέρα αριστερό μου αρχιδι. Να το ξέρεις noname αριστοφασιστα	OFF
580	337	Είμαστε μαλάκες και καμαρώνουμε	OFF
582	5241	@USER Έχω εσένα αριστερό μου αρχιδι. Τα λες ποιο καλά. Κόκκινοφασιστα μου	OFF
583	4211	@USER Πλήθος κόσμου; χαχαχαχαχαχαχα! Να είσαι καλά ρε Παρίδης μας κάνεις και γελάμε με τις μαλακίες που γράφεις.	OFF
588	7350	"Ο χαρακτηρισμός ""Καρα-μαλάκας"" του Ευάγγελου του Μενδρινου στον @USER συνιστά λιγάκι ρατσισμό ή μου φαίνεται;"	OFF
589	1425	@USER την πουτανα τον Μπαναώτη καμμένο για τι τον αφήνεις στην απέξω; μόνο η υπόθεση με πυραύλους είναι για ισόβια	OFF
590	2276	Ρεπούση σύρε και γαμήσου!	OFF
